Babysitter,Years_of_Experience,CPR_Certified,Hourly_Rate,Pets_Friendly,Has_Transportation
Faye Ford,3,1,19,1,0
Joanne Edwards,4,1,16,0,1
Geraldine Alger,4,0,30,0,0
Brenda Graber,6,0,15,0,1
Helen Angelo,2,1,18,0,1
Louise Moore,1,1,12,1,1
Diane Mcalary,10,1,20,1,1
Kenneth Longino,10,0,13,1,0
Michelle Conrad,9,0,17,1,0
Cheryl Goracke,8,1,15,0,1
Kenneth Whitlock,2,0,15,0,0
Amanda Smith,9,0,12,0,1
Wayne Pettengill,1,0,23,0,0
Stacey Ferguson,5,0,18,0,0
Douglas Tucker,1,0,27,1,0
Daniel Follmer,1,1,21,0,0
Deborah Dunham,9,0,15,1,0
Carman Smith,3,0,15,0,1
Ricardo Cardinale,10,0,15,0,1
Mark Reed,4,1,14,0,1
Carla Determan,1,1,13,0,0
Lakeshia Davis,5,1,28,0,0
Matthew Forest,8,0,30,1,1
Joseph Lyon,2,0,13,1,0
Charles Laird,5,0,28,1,0
Danny Youngs,3,1,18,0,0
Dwight Rounds,3,1,22,1,1
Laura Brown,4,0,30,1,0
Anthony Lee,0,0,25,0,0
Alphonso Frederick,8,0,19,0,0
Douglas Sanchez,6,0,19,0,0
Ellen Rice,7,0,15,1,0
Leon Danforth,0,1,19,1,0
Randell Legendre,2,1,29,0,0
Danny Hazlewood,2,0,24,1,0
Debbi Naron,1,0,26,0,0
Sarah Mata,4,0,26,0,1
Philip Black,2,0,11,1,0
Michael Loyd,2,0,17,1,1
Allan Brewer,2,0,19,1,1
Gordon Sharpton,10,1,17,0,0
Kristina Croghan,2,0,20,0,1
Charles Sheetz,10,1,25,1,0
Quincy Olsen,1,0,13,1,1
Bonnie Foy,4,0,29,1,1
Gloria Ivey,4,0,16,0,0
Alan Almond,5,1,10,0,0
Mickey Naef,0,1,28,1,1
Linda Sanchez,5,0,19,1,0
Patty Brangers,6,1,26,0,0
John Simpson,3,0,20,1,1
Mary Anderson,5,1,22,1,1
Leroy Noguera,0,1,16,1,0
Walter Houchens,0,1,12,1,1
Martha Preston,5,0,14,0,0
Bryan Crane,7,0,10,1,0
Billy Cogswell,8,0,27,1,0
Debbie Pratt,7,1,25,0,1
Kevin Carter,7,1,16,0,1
Cedric Rollins,4,1,21,0,0
Ray Marley,10,1,20,1,0
Stephen Temple,6,0,16,1,1
Micheal Foss,8,0,16,0,0
Russ Kolle,10,1,15,0,0
Marilyn Mayette,2,0,25,1,1
Lindsey Cruz,2,0,12,0,0
Julianne Mcginnis,3,0,13,0,0
John Garber,3,0,27,1,1
Alex Walsh,8,1,30,0,1
Nikki Carey,5,1,27,1,1
Roger Owens,10,1,27,1,1
Phil Gonzales,7,1,11,1,0
Albert Leal,0,0,13,1,1
Emilia Mccoy,5,1,12,0,1
Marty Johnson,9,1,27,0,1
Gwendolyn Marquez,3,0,15,1,1
Deanna Hamilton,2,1,14,0,0
Nettie Jones,1,0,19,1,1
Gloria Smail,8,1,18,1,1
Margie Blue,3,1,25,1,1
Vincent Torres,6,1,27,1,1
Faye Benoit,5,0,25,1,0
Kathy Richardson,0,0,27,1,1
Samuel Mcgraw,4,0,12,1,1
Ruby Mcdevitt,9,1,15,1,1
Cindy Johnson,2,1,20,0,0
Consuelo Coto,1,1,12,1,1
Ronnie Mack,10,0,16,1,1
Evelyn Johnson,2,0,17,0,0
David Simmer,9,0,17,1,1
Henry Harrington,9,0,16,0,1
Daniel Rubens,2,1,30,1,0
Michael Speakman,7,0,27,1,0
Robbie Smith,5,0,24,0,1
June Darragh,6,1,18,0,0
Christopher Powell,10,0,12,0,1
Kristin Glotfelty,9,1,13,1,0
Joseph Alderson,7,1,23,0,1
Wayne Edwards,10,1,11,0,1
Lucile Cunningham,2,1,23,1,0
Lamar Robinett,3,1,14,1,1
Laura Peterson,4,0,20,0,1
Sue Mason,8,1,16,1,0
Curtis Gibson,2,0,29,1,0
Mary Pribbenow,4,0,15,0,1
Mary Krogstad,0,1,16,1,0
Wilbert Hommell,8,0,10,1,0
Robert Armijo,10,1,29,0,0
Rachel Cofield,3,0,12,1,1
Audrey Rohe,6,1,16,1,1
Alan Catlett,0,1,20,0,1
Patrice Jones,9,0,14,1,0
Robert Ballard,7,1,28,0,0
Katherine Abreu,10,0,16,1,1
Benjamin Mauldin,6,0,17,1,0
Debby Staley,3,1,30,0,0
Theodore Ragsdale,0,0,30,0,1
Tina Mccann,3,1,10,1,1
Gladys Wingo,1,1,17,1,0
Erik Coney,5,0,19,1,1
Steven Mitchelle,4,1,30,0,1
Gwendolyn Moore,6,0,30,0,1
Stanley Fisher,5,0,21,0,1
Cathryn Grant,6,0,14,1,0
Diane Franks,8,1,21,1,0
Patricia Pena,3,0,12,0,1
Ruth Henry,6,0,23,1,1
Oscar Fernandez,1,0,28,1,0
Charles Carter,2,1,14,1,1
Genoveva Trapp,5,1,15,0,0
Carl Fletcher,1,1,19,1,0
Elizabeth Williams,5,0,12,1,1
Anthony Hull,7,1,28,1,1
Samuel Swinson,0,0,30,1,0
Carole Mccue,9,0,21,1,1
Erin Allen,0,0,11,1,0
John Henson,7,1,20,1,1
Rufus Surano,4,0,26,1,0
Dana Mckenna,2,0,22,1,1
Jennifer Scarlato,8,0,17,1,1
Patrick Oliver,5,1,30,1,0
Keith Haselton,4,1,18,1,1
Daniel Buffkin,8,0,14,1,0
Brent Vergara,4,1,29,0,0
Martha Underwood,1,0,18,0,1
Nicholas Vazquez,7,0,16,0,1
Samuel Bolin,5,1,13,1,0
Mark Tucker,0,1,18,1,1
Emily Meikle,8,1,21,1,1
Raymond Hutson,9,0,15,1,0
Cathleen Goers,4,1,26,1,0
Marianela Thompson,5,0,18,1,0
Inez Rosales,7,0,10,0,1
Pedro Bailey,3,1,21,0,1
Kenneth Lingelbach,4,0,24,1,1
Mark Rood,1,0,26,0,0
Maurice Graf,1,1,17,1,1
Elsie Moses,6,0,15,1,1
Crystal Anderson,3,0,10,0,0
Daniel Lucky,10,0,20,0,1
Paul Burmeister,2,0,28,1,0
John Wingert,8,1,28,0,1
Mary Montanez,9,1,24,0,1
Beverly Magnuson,3,1,21,0,0
Joe Mcgowan,7,0,24,0,1
Linda Odonnell,3,0,14,0,0
Michael Conway,8,1,12,1,0
Eric Amato,10,1,30,1,0
Naomi Hill,8,0,28,1,1
Elly Gonzalez,9,1,14,1,1
Kathleen Finkbeiner,3,1,12,1,0
Jackie Peeler,0,0,11,0,1
Abdul King,5,1,22,1,0
Francine Ruivo,9,0,12,0,0
Jordan Logan,7,0,20,1,0
Brett Cuadras,1,0,14,0,0
Sandra Herring,6,0,10,1,0
Beth Muller,6,1,26,0,0
Brian Goodwin,4,1,16,1,1
Brandy Sewell,4,0,13,0,0
Juanita Sturgis,1,1,16,0,0
Leigh Gomez,1,1,30,1,0
John Schroeder,9,0,19,1,0
Marshall Rybij,9,0,15,0,1
Andrea Salcedo,6,1,21,1,1
Lorie Kincer,4,1,13,1,0
Pearle Olson,3,0,13,0,0
Celia Samaniego,7,0,19,0,0
Lorie Smith,0,0,28,0,0
Sharon Anderson,10,1,18,1,1
William Forand,8,0,29,0,0
James Duda,5,0,16,1,1
Sarah Runge,4,0,27,0,0
Vicki Parrish,8,1,15,1,1
Martin Lara,3,1,24,1,1
John Taylor,0,1,24,0,1
Monte Haley,10,1,25,0,1
Troy Reker,7,1,30,1,1
Michael Walker,7,0,20,1,0
